                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1256,                 1.2497,                 1.1452,                0.60237,                0.54069,                0.58037,                0.34611,                 1.3166,                 1.2234,                  1.237,             0.00027667,             0.00027667,             0.00027667
                      2,                 1.1204,                0.98337,                 1.1528,                0.65169,                0.52061,                0.58766,                0.35457,                  1.347,                 1.1591,                 1.2857,             0.00053605,             0.00053605,             0.00053605
                      3,                 1.1164,                0.94631,                 1.1521,                0.74287,                0.52698,                0.61934,                0.36854,                 1.3295,                 1.1455,                 1.2737,              0.0007771,              0.0007771,              0.0007771
                      4,                 1.0832,                0.89068,                 1.1378,                 0.6834,                0.60421,                0.64881,                 0.3927,                 1.3078,                 1.0402,                 1.2785,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.0347,                0.81699,                 1.1089,                0.76222,                0.59734,                0.68288,                0.41933,                 1.2738,                0.96649,                 1.2537,             0.00072304,             0.00072304,             0.00072304
                      6,                 1.0058,                0.77599,                 1.0946,                0.72503,                0.62377,                0.67927,                0.42442,                 1.2369,                 0.9549,                  1.238,             0.00069556,             0.00069556,             0.00069556
                      7,                0.96621,                0.72427,                 1.0709,                0.78412,                0.61703,                0.70406,                0.43604,                  1.262,                0.93733,                 1.2527,             0.00066807,             0.00066807,             0.00066807
                      8,                0.94146,                0.69311,                 1.0586,                 0.7566,                0.64361,                0.70295,                0.42939,                 1.2527,                0.91448,                 1.2383,             0.00064058,             0.00064058,             0.00064058
                      9,                0.91988,                0.66408,                 1.0452,                0.76692,                0.65323,                0.71758,                0.44899,                 1.2156,                0.87458,                 1.2151,             0.00061309,             0.00061309,             0.00061309
                     10,                0.89414,                0.64013,                 1.0347,                0.77864,                0.64119,                 0.7177,                0.45011,                 1.2129,                0.88524,                 1.2268,              0.0005856,              0.0005856,              0.0005856
                     11,                0.86589,                 0.6138,                 1.0163,                 0.8097,                0.63379,                0.72475,                0.44863,                 1.2222,                0.86679,                 1.2303,             0.00055811,             0.00055811,             0.00055811
                     12,                0.84573,                 0.5869,                 1.0093,                0.81647,                0.63144,                0.72288,                0.45848,                 1.2158,                  0.844,                  1.239,             0.00053062,             0.00053062,             0.00053062
                     13,                0.83375,                0.57274,                  1.007,                0.77185,                0.65265,                0.72562,                 0.4609,                 1.2035,                0.85933,                 1.2277,             0.00050313,             0.00050313,             0.00050313
                     14,                0.81145,                0.55875,                0.99051,                0.79443,                0.65852,                0.74173,                0.46715,                 1.1897,                0.85871,                 1.2272,             0.00047564,             0.00047564,             0.00047564
                     15,                0.79103,                0.53107,                 0.9802,                0.77795,                0.65749,                0.73531,                 0.4633,                 1.2213,                0.84307,                 1.2454,             0.00044815,             0.00044815,             0.00044815
                     16,                0.77216,                0.51716,                0.97408,                0.81686,                0.64101,                0.73412,                0.46504,                 1.1883,                0.85758,                 1.2163,             0.00042066,             0.00042066,             0.00042066
                     17,                0.75899,                0.50494,                0.96742,                0.79622,                0.64374,                0.72296,                0.46448,                 1.1844,                0.82794,                 1.2357,             0.00039318,             0.00039318,             0.00039318
                     18,                0.74196,                0.48683,                0.95826,                0.81213,                0.65031,                0.72869,                0.46323,                 1.1977,                0.83597,                 1.2349,             0.00036569,             0.00036569,             0.00036569
                     19,                0.71927,                0.47481,                0.95163,                0.80719,                0.65679,                0.74074,                0.47041,                    1.2,                0.84068,                   1.24,              0.0003382,              0.0003382,              0.0003382
                     20,                0.71042,                0.46337,                 0.9462,                0.82972,                0.65805,                0.74094,                0.47544,                 1.1847,                 0.8352,                  1.233,             0.00031071,             0.00031071,             0.00031071
                     21,                0.66984,                0.41026,                0.92291,                0.79062,                0.67277,                 0.7401,                0.47602,                 1.1851,                0.84091,                 1.2411,             0.00028322,             0.00028322,             0.00028322
                     22,                0.64705,                0.39156,                0.91232,                0.80461,                0.66152,                0.73687,                0.47636,                 1.1872,                0.84125,                 1.2489,             0.00025573,             0.00025573,             0.00025573
                     23,                0.62281,                0.37737,                0.90261,                0.79481,                 0.6531,                0.73161,                0.47423,                 1.1853,                0.85345,                 1.2509,             0.00022824,             0.00022824,             0.00022824
                     24,                0.60676,                0.36548,                0.89506,                0.82466,                0.64933,                0.73903,                0.47337,                 1.1857,                0.86375,                 1.2624,             0.00020075,             0.00020075,             0.00020075
                     25,                 0.5875,                0.35272,                0.88889,                0.82266,                0.66296,                0.74322,                0.48322,                  1.173,                0.85243,                 1.2418,             0.00017326,             0.00017326,             0.00017326
                     26,                0.56499,                0.33848,                0.87528,                 0.8096,                0.66602,                0.74137,                0.47882,                 1.1788,                0.85363,                 1.2459,             0.00014577,             0.00014577,             0.00014577
                     27,                 0.5497,                0.33047,                0.87163,                0.80091,                0.68119,                0.74405,                0.48771,                 1.1676,                0.83054,                  1.256,             0.00011829,             0.00011829,             0.00011829
                     28,                 0.5315,                0.32077,                0.86551,                  0.828,                0.66134,                 0.7418,                 0.4891,                  1.166,                0.85573,                 1.2542,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.52164,                0.31374,                0.86246,                0.78181,                0.68412,                0.74517,                0.48655,                 1.1669,                0.85462,                 1.2616,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.50565,                0.30663,                0.85821,                0.82885,                0.66325,                0.74728,                0.48892,                 1.1691,                0.84866,                 1.2666,             3.5819e-05,             3.5819e-05,             3.5819e-05
